term,estimate,std.error,statistic,p.value,model,model_index,row,lr.p.value,nice_term,plot_order,reject,lr_reject,percent_change,lr.p.value_plot,percent_change_text,percent_change_text2,se_text,se_text2,se_text3
(Intercept),-3.8466111254542064,1.1263749934705722,-3.415035976253412,6.377358772001571e-4,ML with Default Precision,1,1,2.5187629744544355e-4,Constant,12,Reject Null Hypothesis,Reject Null Hypothesis,-0.6050460598966887,NA,,,1.13,1.13,1.13
twonukedyad,-13.284220953226647,522.9850065510574,-0.02540076825688071,0.9797352983263695,ML with Default Precision,1,11,0.22455850294935678,Two States Have Nuclear Weapons,3,Fail to Reject Null Hypothesis,Fail to Reject Null Hypothesis,-0.770796761806012,0.22455850294935678,-77%,-77% change in p-value,522.99,522.99,std. error = 522.99
onenukedyad,0.9109733855430882,0.36852160931882294,2.471967348744991,0.013437178838915048,ML with Default Precision,1,8,0.01572271012032628,One State Has Nuclear Weapons,2,Reject Null Hypothesis,Reject Null Hypothesis,0.17009011406413438,NA,,,0.37,0.37,0.37
Contiguity,2.9497393546608843,0.3833633540339845,7.69436964598185,1.4219342552667396e-14,ML with Default Precision,1,3,1.58411740520071e-16,Contiguity,9,Reject Null Hypothesis,Reject Null Hypothesis,-0.9888594187858317,NA,,,0.38,0.38,0.38
logDistance,-0.6864204131619248,0.13235441933568487,-5.186229644670844,2.1459417124021635e-7,ML with Default Precision,1,5,2.1652492832118406e-6,Distance,8,Reject Null Hypothesis,Reject Null Hypothesis,9.089972484798128,NA,,,0.13,0.13,0.13
logCapabilityRatio,-0.6485529419309034,0.12392650297363698,-5.233367571655522,1.6644927143434157e-7,ML with Default Precision,1,4,1.5027631894762247e-8,Capabilities,4,Reject Null Hypothesis,Reject Null Hypothesis,-0.9097164453453909,NA,,,0.12,0.12,0.12
Ally,-0.44117474304869575,0.35225798767379063,-1.2524194155598445,0.21041707520628725,ML with Default Precision,1,2,0.1942404774611978,Alliance,5,Fail to Reject Null Hypothesis,Fail to Reject Null Hypothesis,-0.07687873110692346,0.1942404774611978,-8%,-8%,0.35,0.35,0.35
MajorPower,2.3568015154744604,0.39471952256117077,5.970825816220479,2.3605566067329186e-9,ML with Default Precision,1,6,2.084032973031829e-8,Major Power,10,Reject Null Hypothesis,Reject Null Hypothesis,7.828565970786838,NA,,,0.39,0.39,0.39
SmlDemocracy,-0.07472148714230145,0.03181961715954744,-2.3482836631138206,0.018860151761220294,ML with Default Precision,1,9,0.009843708859302873,Democracy ,6,Reject Null Hypothesis,Reject Null Hypothesis,-0.4780684172678172,NA,,,0.03,0.03,0.03
SmlDependence,-119.8563698787858,48.96674359138637,-2.4477096308252255,0.01437674655173356,ML with Default Precision,1,10,8.937071237727212e-4,Interdependence,7,Reject Null Hypothesis,Reject Null Hypothesis,-0.9378366224544066,8.937071237727212e-4,-94%,-94%,48.97,48.97,48.97
NIGOs,-0.029776639643405822,0.01181191711588293,-2.52089811935495,0.011705573813665073,ML with Default Precision,1,7,0.010289322153814005,IGO Membership,11,Reject Null Hypothesis,Reject Null Hypothesis,-0.12098951169721707,NA,,,0.01,0.01,0.01
(Intercept),-3.846611125454257,1.12637501211022,-3.4150359197402467,6.377360095173859e-4,ML with Maximum Precision,2,12,2.518763180552605e-4,Constant,12,Reject Null Hypothesis,Reject Null Hypothesis,-0.605046109524424,NA,,,1.13,1.13,1.13
twonukedyad,-30.28422096036904,2365276.664282026,-1.2803669616197624e-5,0.9999897841496919,ML with Maximum Precision,2,22,0.22455808030140292,Two States Have Nuclear Weapons,3,Fail to Reject Null Hypothesis,Fail to Reject Null Hypothesis,-0.7754396256234274,0.22455808030140292,-78%,-78%,"2,365,276.66",2 million,2 million
onenukedyad,0.9109733855430008,0.3685216112051265,2.471967336091817,0.013437179314507247,ML with Maximum Precision,2,19,0.015722709814602144,One State Has Nuclear Weapons,2,Reject Null Hypothesis,Reject Null Hypothesis,0.1700900498981478,NA,,,0.37,0.37,0.37
Contiguity,2.94973935466088,0.383363363676184,7.694369452456181,1.4219364072577216e-14,ML with Maximum Precision,2,14,1.5841170659983322e-16,Contiguity,9,Reject Null Hypothesis,Reject Null Hypothesis,-0.9888594380317375,NA,,,0.38,0.38,0.38
logDistance,-0.686420413161927,0.1323544212778355,-5.186229568568838,2.145942588861361e-7,ML with Maximum Precision,2,16,2.1652496391581387e-6,Distance,8,Reject Null Hypothesis,Reject Null Hypothesis,9.089970022483325,NA,,,0.13,0.13,0.13
logCapabilityRatio,-0.648552941930895,0.12392650407782703,-5.233367525025942,1.6644931344344592e-7,ML with Maximum Precision,2,15,1.502762992181113e-8,Capabilities,4,Reject Null Hypothesis,Reject Null Hypothesis,-0.9097164799846589,NA,,,0.12,0.12,0.12
Ally,-0.4411747430486968,0.3522579915563027,-1.2524194017559491,0.21041708023358338,ML with Maximum Precision,2,13,0.19424047365283398,Alliance,5,Fail to Reject Null Hypothesis,Fail to Reject Null Hypothesis,-0.0768787712613054,0.19424047365283398,-8%,-8%,0.35,0.35,0.35
