power_fn_id,n_obs,n_x_1s,b_cons,n_z,rho,b_x,method,pr_sep,pr_reject
3,1000,5,-1.4,5,0.36,-5,ML w/ LR,0.015501793132936549,0.6432
3,1000,5,-1.4,5,0.36,-4,ML w/ LR,0.06947336789380767,0.3536
3,1000,5,-1.4,5,0.36,-3,ML w/ LR,0.20469204415730424,0.168
3,1000,5,-1.4,5,0.36,-2,ML w/ LR,0.434340686641401,0.0732
3,1000,5,-1.4,5,0.36,-1,ML w/ LR,0.683720078837761,0.0296
3,1000,5,-1.4,5,0.36,-0.75,ML w/ LR,0.736037072204992,0.0216
3,1000,5,-1.4,5,0.36,-0.5,ML w/ LR,0.7822831773682023,0.0172
3,1000,5,-1.4,5,0.36,-0.4,ML w/ LR,0.7990250420792787,0.0168
3,1000,5,-1.4,5,0.36,-0.3,ML w/ LR,0.8147672850070502,0.0172
3,1000,5,-1.4,5,0.36,-0.2,ML w/ LR,0.8295250609867183,0.012
3,1000,5,-1.4,5,0.36,-0.1,ML w/ LR,0.843320921965643,0.0128
3,1000,5,-1.4,5,0.36,-0,ML w/ LR,0.8561835711011704,0.0068
3,1000,5,-1.4,5,0.36,0.1,ML w/ LR,0.8681466630396326,0.01
3,1000,5,-1.4,5,0.36,0.2,ML w/ LR,0.8792476784623096,0.0116
3,1000,5,-1.4,5,0.36,0.3,ML w/ LR,0.8895268926928307,0.0088
3,1000,5,-1.4,5,0.36,0.4,ML w/ LR,0.8990264507061201,0.0052
3,1000,5,-1.4,5,0.36,0.5,ML w/ LR,0.907789554498095,0.0052
3,1000,5,-1.4,5,0.36,0.75,ML w/ LR,0.9267604929366897,0.0068
3,1000,5,-1.4,5,0.36,1,ML w/ LR,0.9420651654656569,0.0048
3,1000,5,-1.4,5,0.36,2,ML w/ LR,0.977915058044036,8e-4
3,1000,5,-1.4,5,0.36,3,ML w/ LR,0.9917657012168708,0
3,1000,5,-1.4,5,0.36,4,ML w/ LR,0.9969556489871764,8e-4
3,1000,5,-1.4,5,0.36,5,ML w/ LR,0.9988779853629246,0
3,1000,5,-1.4,5,0.36,-5,ML w/ Score,0.015501793132936549,0.9672
3,1000,5,-1.4,5,0.36,-4,ML w/ Score,0.06947336789380767,0.8952
3,1000,5,-1.4,5,0.36,-3,ML w/ Score,0.20469204415730424,0.7632
3,1000,5,-1.4,5,0.36,-2,ML w/ Score,0.434340686641401,0.522
3,1000,5,-1.4,5,0.36,-1,ML w/ Score,0.683720078837761,0.318
3,1000,5,-1.4,5,0.36,-0.75,ML w/ Score,0.736037072204992,0.2528
3,1000,5,-1.4,5,0.36,-0.5,ML w/ Score,0.7822831773682023,0.1952
3,1000,5,-1.4,5,0.36,-0.4,ML w/ Score,0.7990250420792787,0.1932
3,1000,5,-1.4,5,0.36,-0.3,ML w/ Score,0.8147672850070502,0.1692
3,1000,5,-1.4,5,0.36,-0.2,ML w/ Score,0.8295250609867183,0.1656
3,1000,5,-1.4,5,0.36,-0.1,ML w/ Score,0.843320921965643,0.1448
3,1000,5,-1.4,5,0.36,-0,ML w/ Score,0.8561835711011704,0.132
3,1000,5,-1.4,5,0.36,0.1,ML w/ Score,0.8681466630396326,0.1268
3,1000,5,-1.4,5,0.36,0.2,ML w/ Score,0.8792476784623096,0.106
3,1000,5,-1.4,5,0.36,0.3,ML w/ Score,0.8895268926928307,0.1004
3,1000,5,-1.4,5,0.36,0.4,ML w/ Score,0.8990264507061201,0.1032
3,1000,5,-1.4,5,0.36,0.5,ML w/ Score,0.907789554498095,0.0804
